collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,25,sparseonly,cross-encoder,0.87,0.4674,0.566,1676.65,3124.97,3297.48,0.53
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,50,sparseonly,cross-encoder,0.91,0.4955,0.5961,3990.66,6440.3,6579.53,0.24
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,20,100,sparseonly,cross-encoder,0.91,0.4593,0.5679,7466.2,12517.18,12813.29,0.12
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,25,hybrid,colbert,0.86,0.5081,0.5955,42.84,50.0,54.19,59.15
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,50,hybrid,colbert,0.9,0.4705,0.5765,44.1,51.79,57.18,58.13
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,100,hybrid,colbert,0.9,0.5064,0.6036,47.94,57.8,70.45,58.92
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,25,hybrid,colbert,0.88,0.4748,0.5743,44.29,53.37,63.68,59.23
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,50,hybrid,colbert,0.93,0.4452,0.563,45.03,53.7,59.55,58.35
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,20,100,hybrid,colbert,0.93,0.4126,0.5387,45.7,55.43,66.89,58.7
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,25,hybrid,cross-encoder,0.85,0.4279,0.5326,1248.6,3095.93,3624.93,0.56
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,50,hybrid,cross-encoder,0.88,0.4995,0.5929,3351.74,6410.69,6620.46,0.25
scifact_float32_noquant,../qdrant-load/configs/scifact/config_float32_noquant.yml,10,100,hybrid,cross-encoder,0.87,0.4809,0.5765,7979.47,12544.79,12807.97,0.12
