collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,100,hybrid,colbert,0.968,0.7151,0.7763,89.82,100.87,110.35,58.88
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,25,hybrid,cross-encoder,0.95,0.7145,0.7721,324.73,804.75,970.26,2.15
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,50,hybrid,cross-encoder,0.956,0.7162,0.7748,944.04,2017.1,2366.26,0.89
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,100,hybrid,cross-encoder,0.954,0.7159,0.7741,1959.18,3940.61,4482.11,0.44
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,25,hybrid,cross-encoder,0.96,0.7152,0.7746,477.02,1018.71,1235.09,2.06
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,50,hybrid,cross-encoder,0.968,0.7171,0.7779,917.79,2086.32,2634.3,0.9
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,100,hybrid,cross-encoder,0.974,0.7173,0.7792,2006.89,3927.28,4490.61,0.44
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,25,hybrid,rrf,0.934,0.636,0.7085,25.08,28.16,33.06,307.57
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,50,hybrid,rrf,0.934,0.6462,0.716,25.52,28.95,32.75,305.85
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,10,100,hybrid,rrf,0.934,0.646,0.7158,25.44,39.39,122.75,298.64
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,25,hybrid,rrf,0.956,0.6418,0.7171,25.66,29.09,30.47,301.52
test_float32_noquant,../qdrant-load/configs/config_float32_noquant.yml,20,50,hybrid,rrf,0.952,0.6465,0.7198,25.8,28.87,33.03,296.77
